"Participant ID","Survey Identifier","Survey Timestamp","School type","What is your class year?","If other, please describe","Are you a first generation college student? (i.e. first of immediate family members to graduate from college)","Are you a first generation medical student? (i.e. first of immediate family members to graduate from medical school)","Do you receive financial support from parents, grandparents, etc.? (tuition, rent, monthly allowance, groceries, etc).","What is your current household income? This includes any financial support during medical school from spouses, parents, grandparents, caregivers, etc.  ","What is your estimated debt after graduating medical school? Please include all anticipated debt.","Are you receiving a tuition scholarship?","How much you spent on supplies/materials for clinical duties (ex: stethoscope, ophthalmoscope, reflex hammer, pen light, tuning fork, suture kits, tablet)  ","How much you spent on test prep/3rd party resources (ex: UWorld, Amboss, Sketchy, First Aid, Boards and Beyond, Pathoma, Osmosis, anatomy subscriptions, NBME practice tests)","How much you spent on clothing and attire appropriate for the hospital/clinic (business outfits, dress shoes, haircuts)","How much you spent on  textbooks for preclinical and clinical duties (including online copies of textbooks)","How much you spent on required board exams (Step 1, 2)","How much you spent on social/student fees (social activities/outings, school clothes and gear, student fees)","How much you spent on residency fees (travel, hotel, application fees, background check fees).  If this does not apply to you, leave it blank.","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Supplies/materials for clinical duties)","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Test prep/3rd party resources)","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Clothing for clinic/hospital duties)","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Textbooks (or online copies))","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Required exams (Step 1, 2))","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Residency fees)","Please mark the items that were required/included in the estimated costs given to you by your school. (choice=Social/student fees)","Does your school offer any programs for additional financial support?","Please describe the financial support provided by your medical school","I spent more money out of pocket during medical school than expected","The total cost of attendance listed by my medical school accurately predicted my expenses during medical school","The cost of additional resources has been a financial constraint at some point in my medical career","Financial concerns have impacted my mental health and well-being at some point in my medical career","I felt like I spent ____ I expected for resources directly applicable to my medical education",Age,"How would you describe your gender?","How would you describe your race?","Are you of Hispanic, Latino/a, or Spanish origin?",Complete?
1,,"2022-01-25 13:46:22","Private MD",M2,,No,No,Yes,16,116,"Yes, full",200,800,500,100,0,500,0,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Checked,Unsure,,Agree,Neutral,Neutral,Agree,"Significantly more than",25,Woman,"Prefer not to answer",No,Complete
2,,"2022-01-25 13:46:53","Private MD",M4,,No,Yes,No,0,312,No,150,1550,900,200,2500,450,7500,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,No,,"Strongly agree",Neutral,"Strongly agree","Strongly agree","Significantly more than",26,Woman,"Prefer not to answer","Prefer not to answer",Complete
3,,"2022-01-25 13:46:58","Private MD",M4,,No,Yes,Yes,,340,No,700,3050,1000,300,2100,750,1050,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Yes,,Agree,Disagree,Agree,Agree,"Significantly more than",26,Man,White,No,Complete
4,,"2022-01-25 13:46:59","Private MD",M4,,No,Yes,Yes,76,92,"Yes, partial",300,2700,400,0,1500,650,450,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,No,,Neutral,Neutral,Agree,Agree,"The same as",28,Man,Asian,No,Complete
5,,"2022-01-25 13:47:24","Private MD","Graduate student, professional student years",,No,Yes,No,64,0,"Yes, MSTP or other PhD funded program",500,1850,500,0,2500,200,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Yes,,"Strongly agree",Disagree,"Strongly agree","Strongly agree","Significantly more than",25,Man,White,No,Complete
6,,"2022-01-25 13:47:58","Private MD",M3,,Yes,Yes,Yes,52,292,"Yes, partial",300,3500,1500,200,1200,250,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,Disagree,Agree,,"The same as",26,Man,"Prefer not to answer",Yes,Complete
7,,"2022-01-25 13:48:03","Private MD","Graduate student, professional student years",,No,No,Yes,32,0,"Yes, MSTP or other PhD funded program",200,500,1000,0,2000,300,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unsure,,Agree,,Disagree,,"Significantly more than",27,Man,White,No,Complete
8,,"2022-01-25 13:48:41","Private MD",M3,,No,Yes,No,,152,"Yes, partial",900,3000,1100,600,2000,1200,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unsure,,"Strongly agree",Neutral,Agree,Agree,"Significantly more than",25,Woman,White,No,Complete
9,,"2022-01-25 13:48:46","Private MD",M1,,No,Yes,Yes,116,32,No,100,150,500,150,,450,,Checked,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,No,,"Strongly agree",Neutral,Disagree,Neutral,"Significantly more than",22,Woman,Asian,No,Complete
10,,"2022-01-25 13:48:58","Private MD",M4,,No,Yes,Yes,36,140,"Yes, full",200,1000,1200,150,1850,1100,2250,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unsure,,Agree,Agree,Agree,Agree,"The same as",27,Man,White,Yes,Complete
